x,y,vx,vy,Paddle.y
497.6244057126379,323.1679105420716,-1.1877971436810586,-0.9160447289642132,359
496.43660856895684,322.2518658131074,-1.1877971436810586,-0.9160447289642132,359
495.2488114252758,321.33582108414316,-1.1877971436810586,-0.9160447289642132,359
494.06101428159474,320.41977635517895,-1.1877971436810586,-0.9160447289642132,359
492.8732171379137,319.50373162621474,-1.1877971436810586,-0.9160447289642132,359
491.68541999423263,318.58768689725053,-1.1877971436810586,-0.9160447289642132,359
490.4976228505516,317.6716421682863,-1.1877971436810586,-0.9160447289642132,359
489.3098257068705,316.7555974393221,-1.1877971436810586,-0.9160447289642132,359
488.1220285631895,315.8395527103579,-1.1877971436810586,-0.9160447289642132,359
486.9342314195084,314.9235079813937,-1.1877971436810586,-0.9160447289642132,359
485.74643427582737,314.0074632524295,-1.1877971436810586,-0.9160447289642132,359
484.5586371321463,313.0914185234653,-1.1877971436810586,-0.9160447289642132,359
483.37083998846526,312.17537379450107,-1.1877971436810586,-0.9160447289642132,359
482.1830428447842,311.25932906553686,-1.1877971436810586,-0.9160447289642132,359
480.99524570110316,310.34328433657265,-1.1877971436810586,-0.9160447289642132,359
479.8074485574221,309.42723960760844,-1.1877971436810586,-0.9160447289642132,359
478.61965141374105,308.51119487864423,-1.1877971436810586,-0.9160447289642132,359
477.43185427006,307.59515014968,-1.1877971436810586,-0.9160447289642132,359
476.24405712637895,306.6791054207158,-1.1877971436810586,-0.9160447289642132,359
475.0562599826979,305.7630606917516,-1.1877971436810586,-0.9160447289642132,359
473.86846283901684,304.8470159627874,-1.1877971436810586,-0.9160447289642132,359
472.6806656953358,303.9309712338232,-1.1877971436810586,-0.9160447289642132,359
471.49286855165474,303.014926504859,-1.1877971436810586,-0.9160447289642132,359
470.3050714079737,302.09888177589477,-1.1877971436810586,-0.9160447289642132,359
469.11727426429263,301.18283704693056,-1.1877971436810586,-0.9160447289642132,359
467.9294771206116,300.26679231796635,-1.1877971436810586,-0.9160447289642132,359
466.7416799769305,299.35074758900214,-1.1877971436810586,-0.9160447289642132,359
465.5538828332495,298.43470286003793,-1.1877971436810586,-0.9160447289642132,359
